,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_DT__max_depth,param_DT__min_samples_split,param_features__pca__n_components,param_features__univ_select__k,param_features__univ_select__score_func,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
195,0.051666657,0.002000014,0.806896552,1,20,2,3,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 2, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",178,0.775510204,1,0.833333333,1,0.8125,1,0.000471314,1.12E-07,0.0239719,0
210,0.003000021,0.002000014,0.806896552,0.979345647,20,4,3,2,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 4, 'DT__max_depth': 20, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 2}",178,0.714285714,0.989583333,0.833333333,0.969072165,0.875,0.979381443,0,1.12E-07,0.0683014,0.008373688
215,0.052333355,0.001999935,0.806896552,0.989654926,20,4,3,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 4, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",178,0.755102041,0.989583333,0.8125,0.989690722,0.854166667,0.989690722,0.00124732,1.12E-07,0.0407018,5.06E-05
220,0.003000021,0.002000014,0.806896552,0.955183276,20,6,1,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 6, 'DT__max_depth': 20, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",178,0.795918367,0.958333333,0.8125,0.958762887,0.8125,0.948453608,0,1.12E-07,0.007843194,0.004761824
224,0.003666639,0.002000014,0.806896552,0.958655498,20,6,2,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 6, 'DT__max_depth': 20, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",178,0.795918367,0.96875,0.8125,0.958762887,0.8125,0.948453608,0.000471539,1.12E-07,0.007843194,0.008286315
230,0.003000021,0.001999935,0.806896552,0.962127721,20,6,3,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 6, 'DT__max_depth': 20, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",178,0.775510204,0.979166667,0.8125,0.958762887,0.833333333,0.948453608,0,1.12E-07,0.0239719,0.012762303
244,0.004666805,0.002333244,0.806896552,0.962091924,20,8,2,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 8, 'DT__max_depth': 20, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",178,0.795918367,0.96875,0.8125,0.979381443,0.8125,0.93814433,0.00047137,0.000471314,0.007843194,0.017480892
245,0.076333364,0.003000021,0.806896552,0.94834622,20,8,2,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 8, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",178,0.775510204,0.96875,0.833333333,0.93814433,0.8125,0.93814433,0.000471483,0,0.0239719,0.014427651
253,0.075666746,0.003000021,0.806896552,0.934457331,20,10,1,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 10, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",178,0.795918367,0.927083333,0.833333333,0.93814433,0.791666667,0.93814433,0.001885706,0,0.018678116,0.005214204
265,0.062333345,0.002000014,0.806896552,0.951782646,20,10,3,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 10, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",178,0.714285714,0.96875,0.833333333,0.93814433,0.875,0.948453608,0.009672385,1.12E-07,0.0683014,0.012714523
267,0.080666701,0.002999942,0.806896552,0.937929553,20,10,3,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 10, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",178,0.775510204,0.9375,0.833333333,0.93814433,0.8125,0.93814433,0.008806481,1.12E-07,0.0239719,0.00030374
269,0.089666526,0.002666712,0.806896552,0.944873998,20,10,3,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 10, 'DT__max_depth': 20, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",178,0.755102041,0.958333333,0.833333333,0.93814433,0.833333333,0.93814433,0.022216084,0.00047137,0.037003786,0.009517187
270,0.003000021,0.002666712,0.806896552,1,40,2,1,2,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 2, 'DT__max_depth': 40, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 2}",178,0.734693878,1,0.833333333,1,0.854166667,1,0,0.00047137,0.052275774,0
271,0.065999905,0.002333403,0.806896552,1,40,2,1,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 2, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",178,0.775510204,1,0.8125,1,0.833333333,1,0.001632972,0.00047137,0.0239719,0
284,0.004000028,0.002999942,0.806896552,1,40,2,3,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 2, 'DT__max_depth': 40, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",178,0.795918367,1,0.770833333,1,0.854166667,1,1.12E-07,1.12E-07,0.034798577,0
285,0.070666711,0.002666632,0.806896552,1,40,2,3,3,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 2, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 3}",178,0.775510204,1,0.833333333,1,0.8125,1,0.00478418,0.000471483,0.0239719,0
293,0.076333284,0.003000021,0.806896552,0.975837629,40,4,1,4,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 4, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 4}",178,0.734693878,0.96875,0.833333333,0.969072165,0.854166667,0.989690722,0.00047137,0,0.052275774,0.009796499
295,0.076333364,0.002999942,0.806896552,0.979309851,40,4,2,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 4, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",178,0.795918367,0.979166667,0.8125,0.989690722,0.8125,0.969072165,0.000471314,1.12E-07,0.007843194,0.008418099
300,0.004333337,0.003000021,0.806896552,0.979345647,40,4,3,2,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 4, 'DT__max_depth': 40, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 2}",178,0.714285714,0.989583333,0.833333333,0.969072165,0.875,0.979381443,0.000471314,0,0.0683014,0.008373688
307,0.073333263,0.003000021,0.806896552,0.962127721,40,6,1,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 6, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",178,0.795918367,0.979166667,0.833333333,0.958762887,0.791666667,0.948453608,0.0037713,0,0.018678116,0.012762303
310,0.004666646,0.002999942,0.806896552,0.955183276,40,6,1,4,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 6, 'DT__max_depth': 40, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 4}",178,0.795918367,0.958333333,0.8125,0.958762887,0.8125,0.948453608,0.000471427,1.12E-07,0.007843194,0.004761824
314,0.004000028,0.002999942,0.806896552,0.958655498,40,6,2,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 6, 'DT__max_depth': 40, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",178,0.795918367,0.96875,0.8125,0.958762887,0.8125,0.948453608,0.000816535,1.12E-07,0.007843194,0.008286315
320,0.004666646,0.002333323,0.806896552,0.962127721,40,6,3,3,<function f_classif at 0x000000000B2DD5F8>,"{'features__pca__n_components': 3, 'DT__min_samples_split': 6, 'DT__max_depth': 40, 'features__univ_select__score_func': <function f_classif at 0x000000000B2DD5F8>, 'features__univ_select__k': 3}",178,0.775510204,0.979166667,0.8125,0.958762887,0.833333333,0.948453608,0.000471427,0.000471427,0.0239719,0.012762303
325,0.076333364,0.003000021,0.806896552,0.955219072,40,8,1,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 1, 'DT__min_samples_split': 8, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",178,0.795918367,0.96875,0.833333333,0.958762887,0.791666667,0.93814433,0.000471483,0,0.018678116,0.012743514
331,0.076333443,0.002999942,0.806896552,0.941401775,40,8,2,2,<function mutual_info_classif at 0x000000000B32C198>,"{'features__pca__n_components': 2, 'DT__min_samples_split': 8, 'DT__max_depth': 40, 'features__univ_select__score_func': <function mutual_info_classif at 0x000000000B32C198>, 'features__univ_select__k': 2}",178,0.775510204,0.947916667,0.833333333,0.93814433,0.8125,0.93814433,0.000471427,1.12E-07,0.0239719,0.004606724
